longitude,countyFIPS,monthlyHoaFee,annualHomeownersInsurance,yearBuilt,latitude,rentZestimate,timeOnZillow,livingArea,zipcode,propertyTaxRate,bathrooms,bedrooms,price,homeType_CONDO,homeType_SINGLE_FAMILY,homeType_OTHER,cluster,cluster_average_price
-149.9135,2020.0,0.0,3985,1993.0,61.209904,5491.0,1834.0,4007.0,99501,1.31,5.0,5.0,948700,0,1,0,0,657634.9143610013
-149.914,2020.0,0.0,3357,1945.0,61.212322,1889.0,6339.0,900.0,99501,1.31,1.0,2.0,799200,0,0,1,2,418509.68133802817
-149.91322,2020.0,0.0,1957,1962.0,61.21335,3278.0,1379.0,1728.0,99501,1.31,2.0,4.0,466000,0,1,0,3,380546.2917827298
-149.9164,2020.0,0.0,1950,1952.0,61.21147,2271.0,3463.0,1450.0,99501,1.31,2.0,4.0,464200,0,0,1,2,418509.68133802817
-149.91669,2020.0,0.0,4940,2008.0,61.20989,5457.0,4142.0,4296.0,99501,1.31,3.5,4.0,1176100,0,1,0,0,657634.9143610013
-149.9181,2020.0,386.0,2608,1961.0,61.209984,3906.0,3798.0,2544.0,99501,1.31,3.0,5.0,620900,0,1,0,0,657634.9143610013
-149.91888,2020.0,0.0,2715,1958.0,61.21097,3372.0,4464.0,2280.0,99501,1.31,2.0,3.0,646400,0,1,0,3,380546.2917827298
-149.89815,2020.0,0.0,2564,1954.0,61.211147,2484.0,3638.0,3195.0,99501,1.31,2.0,4.0,610400,0,0,1,2,418509.68133802817
-149.89815,2020.0,0.0,2350,1945.0,61.21036,3017.0,4218.0,2475.0,99501,1.31,2.0,4.0,559600,0,1,0,3,380546.2917827298
-149.89905,2020.0,0.0,2320,1945.0,61.21005,2942.0,5146.0,2475.0,99501,1.31,3.0,4.0,552400,0,0,1,2,418509.68133802817
-149.89905,2020.0,0.0,2100,1945.0,61.21099,2576.0,5978.0,1650.0,99501,1.31,2.0,4.0,500000,0,0,1,2,418509.68133802817
-149.89848,2020.0,0.0,539,1951.0,61.211796,1806.0,6052.0,570.0,99501,1.31,1.0,1.0,128300,0,0,1,2,418509.68133802817
-149.89848,2020.0,0.0,549,1951.0,61.211796,1804.0,3333.0,555.0,99501,1.31,0.0,1.0,130600,1,0,0,1,200173.4314516129
-149.89848,2020.0,0.0,532,1951.0,61.211796,1807.0,1407.0,571.0,99501,1.31,1.0,1.0,126700,1,0,0,1,200173.4314516129
-149.89848,2020.0,0.0,587,1951.0,61.211796,1847.0,1096.0,588.0,99501,1.31,1.0,1.0,139800,1,0,0,1,200173.4314516129
-149.90265,2020.0,0.0,1834,1949.0,61.211933,2235.0,3806.0,1783.0,99501,1.31,1.5,2.0,436700,0,1,0,3,380546.2917827298
-149.90195,2020.0,0.0,2635,1947.0,61.211388,3573.0,1096.0,3061.0,99501,1.31,3.0,3.0,627400,0,1,0,0,657634.9143610013
-149.89989,2020.0,386.0,1241,1983.0,61.21068,2373.0,1607.0,1100.0,99501,1.31,2.0,2.0,295400,1,0,0,1,200173.4314516129
-149.89989,2020.0,386.0,1297,1982.0,61.21068,2265.0,4064.0,1040.0,99501,1.31,1.5,2.0,308800,0,0,1,2,418509.68133802817
-149.89989,2020.0,386.0,1345,1982.0,61.21068,2337.0,2440.0,1020.0,99501,1.31,2.0,2.0,320200,0,0,1,2,418509.68133802817
-149.89989,2020.0,386.0,1301,1982.0,61.21068,2018.0,4124.0,1100.0,99501,1.31,1.0,2.0,309800,1,0,0,1,200173.4314516129
-149.89989,2020.0,386.0,1305,1982.0,61.21068,2019.0,4023.0,1095.0,99501,1.31,1.0,2.0,310600,1,0,0,1,200173.4314516129
-149.89989,2020.0,386.0,984,1982.0,61.21068,1887.0,3996.0,903.0,99501,1.31,1.0,1.0,234400,1,0,0,1,200173.4314516129
-149.89989,2020.0,386.0,1281,1982.0,61.21068,2203.0,5202.0,1116.0,99501,1.31,1.5,2.0,305100,1,0,0,1,200173.4314516129
-149.89989,2020.0,386.0,1221,1982.0,61.21068,2351.0,3777.0,1052.0,99501,1.31,2.0,2.0,290600,1,0,0,1,200173.4314516129
-149.89989,2020.0,386.0,1311,1982.0,61.21068,2754.0,4897.0,1566.0,99501,1.31,2.5,2.0,312200,1,0,0,1,200173.4314516129
-149.89989,2020.0,386.0,1208,1982.0,61.21068,2181.0,4703.0,1055.0,99501,1.31,1.5,2.0,287500,1,0,0,1,200173.4314516129
-149.89989,2020.0,386.0,1311,1982.0,61.21068,2203.0,1952.0,1116.0,99501,1.31,1.5,2.0,312100,1,0,0,1,200173.4314516129
-149.89989,2020.0,386.0,1282,1982.0,61.21068,2181.0,4164.0,1055.0,99501,1.31,1.5,2.0,305300,1,0,0,1,200173.4314516129
-149.90233,2020.0,0.0,1098,1984.0,61.21152,1895.0,3422.0,853.0,99501,1.31,1.0,1.0,261400,1,0,0,1,200173.4314516129
-149.90233,2020.0,0.0,1564,1984.0,61.21152,2446.0,3602.0,1287.0,99501,1.31,2.0,2.0,372300,1,0,0,1,200173.4314516129
-149.90749,2020.0,0.0,1925,1965.0,61.211838,2479.0,3332.0,2660.0,99501,1.31,2.0,4.0,458400,0,0,1,2,418509.68133802817
-149.90486,2020.0,0.0,2461,1948.0,61.211384,2748.0,2507.0,1846.0,99501,1.31,2.0,3.0,585900,0,1,0,3,380546.2917827298
-149.9043,2020.0,0.0,1618,1947.0,61.211384,1771.0,1399.0,957.0,99501,1.31,1.0,1.0,385200,0,1,0,3,380546.2917827298
-149.90587,2020.0,0.0,3003,1965.0,61.21095,4463.0,4869.0,3136.0,99501,1.31,4.5,4.0,715100,0,1,0,0,657634.9143610013
-149.9042,2020.0,439.0,1142,1972.0,61.210255,2299.0,6007.0,1293.0,99501,1.31,1.5,3.0,271900,1,0,0,1,200173.4314516129
-149.91063,2020.0,0.0,2243,1954.0,61.212406,2459.0,3667.0,1820.0,99501,1.31,2.0,2.0,534000,0,0,1,2,418509.68133802817
-149.9081,2020.0,0.0,2291,1953.0,61.211933,2508.0,4285.0,2397.0,99501,1.31,2.0,4.0,545400,0,0,1,2,418509.68133802817
-149.91124,2020.0,0.0,2407,1952.0,61.211384,2311.0,4424.0,1410.0,99501,1.31,1.75,3.0,573100,0,1,0,3,380546.2917827298
-149.91064,2020.0,0.0,2337,1945.0,61.210945,2674.0,3938.0,1692.0,99501,1.31,2.0,3.0,556500,0,1,0,3,380546.2917827298
-149.90901,2020.0,0.0,2378,1957.0,61.210407,2552.0,7081.0,2332.0,99501,1.31,2.0,4.0,566200,0,0,1,2,418509.68133802817
-149.91054,2020.0,0.0,2086,1983.0,61.21054,2984.0,3802.0,1781.0,99501,1.31,3.0,2.0,496700,1,0,0,1,200173.4314516129
-149.89813,2020.0,0.0,2175,1958.0,61.209267,2714.0,1838.0,1773.0,99501,1.31,2.0,3.0,517800,0,1,0,3,380546.2917827298
-149.89813,2020.0,0.0,2573,1960.0,61.20801,3749.0,1826.0,2304.0,99501,1.31,4.0,3.0,612500,0,1,0,0,657634.9143610013
-149.89903,2020.0,0.0,2072,1956.0,61.206593,2704.0,4285.0,1500.0,99501,1.31,2.0,3.0,493400,0,1,0,3,380546.2917827298
-149.89903,2020.0,0.0,1607,1950.0,61.20842,1893.0,4040.0,1470.0,99501,1.31,1.0,2.0,382600,0,1,0,3,380546.2917827298
-149.90018,2020.0,0.0,1535,1947.0,61.20757,2171.0,3378.0,872.0,99501,1.31,1.0,2.0,365400,0,1,0,3,380546.2917827298
-149.90018,2020.0,0.0,1408,1940.0,61.206528,2137.0,4019.0,728.0,99501,1.31,1.0,2.0,335300,0,1,0,3,380546.2917827298
-149.90108,2020.0,0.0,2221,1970.0,61.2073,2808.0,6952.0,1976.0,99501,1.31,2.0,5.0,528800,0,0,1,2,418509.68133802817
-149.90224,2020.0,0.0,3759,1949.0,61.208996,5102.0,159.0,3635.0,99501,1.31,5.0,5.0,895000,0,1,0,0,657634.9143610013
-149.90338,2020.0,0.0,3816,1997.0,61.206497,4127.0,3888.0,4846.0,99501,1.31,5.0,5.0,908500,0,0,1,0,657634.9143610013
-149.9042,2020.0,0.0,2309,1959.0,61.20912,2427.0,1932.0,1704.0,99501,1.31,2.0,3.0,549700,0,0,1,2,418509.68133802817
-149.90312,2020.0,0.0,2470,1950.0,61.20802,2561.0,4487.0,2728.0,99501,1.31,2.0,2.0,588200,0,1,0,3,380546.2917827298
-149.90498,2020.0,0.0,1612,1953.0,61.20755,2004.0,1736.0,1688.0,99501,1.31,1.0,3.0,383800,0,1,0,3,380546.2917827298
-149.9049,2020.0,0.0,2452,1947.0,61.20698,3587.0,3326.0,2746.0,99501,1.31,3.0,3.0,583900,0,1,0,0,657634.9143610013
-149.90579,2020.0,0.0,2048,1958.0,61.208706,2758.0,4120.0,1976.0,99501,1.31,2.0,3.0,487700,0,1,0,3,380546.2917827298
-149.90701,2020.0,0.0,2241,1953.0,61.207504,2820.0,6223.0,1738.0,99501,1.31,2.0,4.0,533500,0,1,0,3,380546.2917827298
-149.90536,2020.0,29.0,4277,1964.0,61.20666,4198.0,1112.0,3603.0,99501,1.31,4.0,4.0,1018300,0,1,0,0,657634.9143610013
-149.90887,2020.0,0.0,2648,1969.0,61.20645,2094.0,1734.0,1080.0,99501,1.31,1.0,2.0,630400,0,1,0,3,380546.2917827298
-149.91046,2020.0,386.0,2996,1957.0,61.207485,3370.0,3697.0,3382.0,99501,1.31,2.5,3.0,713400,0,1,0,0,657634.9143610013
-149.90855,2020.0,0.0,2373,1963.0,61.207188,2478.0,4456.0,1843.0,99501,1.31,1.75,4.0,564900,0,1,0,3,380546.2917827298
-149.90924,2020.0,8.0,3369,1995.0,61.206753,3214.0,3158.0,1894.0,99501,1.31,2.0,4.0,802200,0,1,0,0,657634.9143610013
-149.90836,2020.0,0.0,2914,1960.0,61.209408,3377.0,5206.0,3559.0,99501,1.31,2.5,3.0,693800,0,1,0,0,657634.9143610013
-149.90926,2020.0,0.0,2607,1960.0,61.20927,2597.0,3394.0,2500.0,99501,1.31,2.0,5.0,620700,0,0,1,2,418509.68133802817
-149.91039,2020.0,0.0,2809,1959.0,61.208595,3587.0,3970.0,3434.0,99501,1.31,3.0,3.0,668800,0,1,0,0,657634.9143610013
-149.91039,2020.0,0.0,3016,1961.0,61.20801,3271.0,1882.0,3105.0,99501,1.31,2.0,5.0,718100,0,1,0,0,657634.9143610013
-149.91039,2020.0,0.0,3249,1961.0,61.207874,4143.0,3728.0,4146.0,99501,1.31,3.0,5.0,773600,0,1,0,0,657634.9143610013
-149.9113,2020.0,0.0,2266,1961.0,61.20787,2654.0,1413.0,1689.0,99501,1.31,2.0,3.0,539500,0,1,0,3,380546.2917827298
-149.9113,2020.0,0.0,2449,1970.0,61.208008,2926.0,1972.0,1770.0,99501,1.31,2.0,4.0,583100,0,1,0,3,380546.2917827298
-149.9113,2020.0,0.0,2504,1957.0,61.208145,2819.0,2359.0,2299.0,99501,1.31,2.0,3.0,596100,0,1,0,3,380546.2917827298
-149.9113,2020.0,0.0,2331,1970.0,61.208282,1752.0,3676.0,1200.0,99501,1.31,1.0,2.0,555100,0,0,1,2,418509.68133802817
-149.9113,2020.0,0.0,2724,1960.0,61.2086,3341.0,3424.0,2625.0,99501,1.31,2.5,3.0,648600,0,1,0,0,657634.9143610013
-149.91403,2020.0,0.0,2112,1958.0,61.20754,3257.0,3725.0,2092.0,99501,1.31,2.0,4.0,502800,0,1,0,3,380546.2917827298
-149.91533,2020.0,0.0,4463,2001.0,61.20693,6023.0,3862.0,4456.0,99501,1.31,4.5,3.0,1062500,0,1,0,0,657634.9143610013
-149.91472,2020.0,0.0,2358,1951.0,61.209423,3043.0,3350.0,2474.0,99501,1.31,1.5,4.0,561500,0,1,0,3,380546.2917827298
-149.91522,2020.0,0.0,2265,1967.0,61.208424,2614.0,3644.0,2278.0,99501,1.31,2.5,4.0,539200,0,0,1,2,418509.68133802817
-149.91849,2020.0,0.0,2071,1955.0,61.208828,2400.0,4234.0,1920.0,99501,1.31,2.0,4.0,493000,0,0,1,2,418509.68133802817
-149.9269,2020.0,0.0,4491,1989.0,61.206177,4259.0,3784.0,3459.0,99517,1.31,3.0,3.0,1069400,0,1,0,0,657634.9143610013
-149.91821,2020.0,500.0,2607,1976.0,61.207867,2736.0,1918.0,1953.0,99501,1.31,2.0,2.0,620800,1,0,0,1,200173.4314516129
-149.91908,2020.0,500.0,2462,1976.0,61.207867,2993.0,3916.0,1910.0,99501,1.31,2.5,2.0,586300,1,0,0,1,200173.4314516129
-149.919,2020.0,500.0,2847,1979.0,61.208645,3911.0,3302.0,2332.0,99501,1.31,3.0,3.0,677800,0,1,0,0,657634.9143610013
-149.93973,2020.0,0.0,3411,1999.0,61.202976,4736.0,4697.0,3622.0,99517,1.31,3.5,3.0,812200,0,1,0,0,657634.9143610013
-149.92288,2020.0,0.0,1465,1956.0,61.20323,2725.0,4504.0,1360.0,99517,1.31,1.5,2.0,348900,0,1,0,3,380546.2917827298
-149.92197,2020.0,0.0,2497,1964.0,61.202488,2399.0,3177.0,1600.0,99517,1.31,1.0,3.0,594500,0,1,0,3,380546.2917827298
-149.92416,2020.0,0.0,2187,1965.0,61.203407,3083.0,4221.0,1890.0,99517,1.31,2.0,4.0,520600,0,1,0,3,380546.2917827298
